1.5624,126.2915,190.1691,190.169
1.5226,125.9924,189.9391,189.939
1.5303,127.3504,190.7464,190.746
1.5473,128.57,191.4438,191.443
1.601,131.0251,192.9725,192.972
1.7145,137.2856,196.8416,196.841
1.8882,148.3578,204.1321,204.132
2.1239,165.0582,216.0655,216.065
2.4113,185.7715,233.2289,233.228
2.7382,209.2874,256.0385,256.038
3.0929,234.7213,286.3803,286.38
3.4849,262.6042,329.3074,329.307
3.8965,292.3412,392.2088,392.208
4.3228,323.3151,488.5836,488.583
4.7457,354.2118,649.0894,649.089
5.1238,382.1338,921.2881,921.288
5.4412,400.0,1256.6371,1256.63
5.6959,400.0,1256.6371,1256.63
5.8746,400.0,1256.6371,1256.63
5.9737,400.0,1256.6371,1256.63
5.9881,400.0,1256.6371,1256.63
5.914,400.0,1256.6371,1256.63
5.7801,400.0,1256.6371,1256.63
5.61,400.0,1256.6371,1256.63
5.4098,400.0,1256.6371,1256.63
5.1799,393.1093,1102.3132,1102.31
4.9011,376.1548,844.5141,844.514
4.557,350.9763,627.0644,627.064
4.169,321.4007,481.8394,481.839
3.7488,290.2666,386.8956,386.895
3.3473,261.2561,326.9087,326.908
2.9742,235.5616,287.6916,287.691
2.6261,212.1927,259.2073,259.207
2.2993,189.6752,236.744,236.744
2.0251,169.1746,219.385,219.385
2.0479,167.1624,217.7126,217.712
2.0333,170.3888,220.308,220.308
1.9694,168.705,218.9263,218.926
1.9497,164.784,215.917,215.917
1.9054,158.602,211.2705,211.27
1.8685,152.8446,207.229,207.229
1.8551,148.8857,204.5308,204.53
1.8283,145.2148,202.0317,202.031
1.8136,142.4299,200.1014,200.101
1.8011,140.3082,198.835,198.835
1.7779,137.8736,197.2123,197.212
1.7819,136.9659,196.5953,196.595
1.7731,136.1059,196.1044,196.104
1.7962,136.9993,196.7184,196.718
1.917,144.436,201.5133,201.513
2.1529,162.0028,213.8593,213.859
2.4702,187.0338,234.2724,234.272
2.8042,213.6556,260.7131,260.713
3.113,237.0443,289.5477,289.547
3.3779,255.4907,317.3326,317.332
3.6148,270.0277,342.9686,342.968
3.8311,283.4433,370.9082,370.908
4.0285,296.5356,402.7683,402.768
4.197,309.2365,439.3836,439.383
4.3116,318.8098,471.7106,471.71
4.3432,321.9399,483.322,483.322
4.2911,317.7891,468.1956,468.195
4.1907,309.3152,439.9989,439.998
4.0802,300.8449,414.4581,414.458
3.9902,295.6748,400.7133,400.713
3.9285,294.4109,397.1672,397.167
3.8882,294.4966,397.67,397.67
3.8506,293.665,395.6666,395.666
3.7948,290.3217,386.8956,386.895
3.7124,284.1357,372.6682,372.668
3.5955,275.314,353.385,353.385
3.4384,264.0628,332.0922,332.092
3.2322,249.1094,307.096,307.096
2.9842,231.1031,281.7572,281.757
2.7054,210.6137,257.5076,257.507
2.4177,188.9915,236.0325,236.032
2.2393,174.7699,223.7602,223.76
2.3052,178.4863,226.8298,226.829
2.303,184.0971,231.6809,231.68
2.2351,181.8504,229.6486,229.648
2.244,178.5789,226.9937,226.993
2.2124,173.4524,222.6501,222.65
2.1928,169.2543,219.385,219.385
2.1778,166.8041,217.4113,217.411
2.1486,164.6638,215.7687,215.768
2.1276,163.0275,214.5896,214.589
2.1119,161.8666,213.7138,213.713
2.1021,161.1735,213.2785,213.278
2.0964,160.8041,212.9893,212.989
2.1336,163.015,214.5896,214.589
2.2203,169.1192,219.2319,219.231
2.3442,178.3365,226.6661,226.666
2.481,189.2896,236.3877,236.387
2.6169,199.7757,246.2063,246.206
2.7403,208.1976,254.9994,254.999
2.8424,214.9483,262.2365,262.236
2.9234,220.2027,268.2829,268.282
2.9738,223.4266,272.2351,272.235
3.0012,224.8485,273.8965,273.896
3.03,226.1823,275.5783,275.578
3.0899,229.9529,280.2491,280.249
3.1985,237.8488,290.6191,290.619
3.356,250.7588,309.8217,309.821
3.5527,266.949,337.4428,337.442
3.7648,284.3749,373.1108,373.11
3.9748,300.476,413.3675,413.367
4.1681,314.6005,457.2915,457.291
4.3461,326.689,502.6548,502.654
4.5046,337.77,553.0973,553.097
4.6471,348.014,608.8358,608.835
4.7728,357.05,668.424,668.424
4.862,364.3757,727.2205,727.22
4.902,368.4073,764.3777,764.377
4.8656,366.7775,747.9983,747.998
4.7533,358.9897,682.955,682.955
4.588,346.0736,597.261,597.261
4.4099,332.1607,526.2299,526.229
4.2487,321.0649,480.3658,480.365
4.1139,313.041,452.0277,452.027
3.9892,306.5364,430.9455,430.945
3.849,298.9552,409.5949,409.594
3.6786,287.5045,380.3381,380.338
3.4864,272.9634,348.6784,348.678
3.2836,256.6444,319.2675,319.267
3.0814,240.8688,294.9852,294.985
2.8926,226.4826,275.8203,275.82
2.7296,214.6983,262.0177,262.017
2.6123,205.9678,252.5396,252.539
2.5671,202.2602,248.7405,248.74
2.6234,206.0153,252.5396,252.539
2.7543,216.9785,264.6666,264.666
2.954,233.0022,284.307,284.307
3.1967,251.899,311.357,311.357
3.4731,271.6627,346.3719,346.371
3.7638,291.6369,390.2599,390.259
4.0617,312.1018,448.799,448.799
4.3534,331.878,524.4729,524.472
4.6244,350.3989,623.3319,623.331
4.8732,367.9128,758.8388,758.838
5.0848,382.9219,932.2233,932.223
5.2504,395.0199,1142.3972,1142.39
5.3639,400.0,1256.6371,1256.63
5.428,400.0,1256.6371,1256.63
5.4447,400.0,1256.6371,1256.63
5.4275,400.0,1256.6371,1256.63
5.3883,400.0,1256.6371,1256.63
5.3352,400.0,1256.6371,1256.63
5.2713,398.8073,1227.1846,1227.18
